date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2023-01-13,67.45245,67.48004,65.90387,67.48,788935187.0,SDTTR,67.48,67.45245,67.48004,65.90387,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.47445317131001774,1,1,0.3759128630705393,1,1,0.709490219324244,1,1,0.2832128037937165,1,1,0.6962937166567871,1,1,4.137218435091879,1,1
2023-01-19,97.00182,98.70803,91.96003,98.708,181970478.0,SDTTR,98.708,97.00182,98.70803,91.96003,0,0.46277415530527555,,,,,,,,,,2.4911225071224976,0.49822450142449953,1.9928980056979981,,,181970478.0,-0.1831330793856628,0,-1,-0.06886169307452283,0,-1,0.4131742108035823,1,1,-0.17714572273777196,0,-1,0.0915447582769382,1,1,3.248011306074482,1,1
2023-01-20,106.49139,108.559135,102.0574,108.5591,337747945.0,SDTTR,108.5591,106.49139,108.559135,102.0574,0,0.09980042144507029,,,,,,,,,,5.200310539687166,1.438641709077033,3.761668830610133,,,519718423.0,-0.21098000996692123,0,-1,-0.20372036982620534,0,-1,0.3421058207004295,1,1,-0.21143321932477332,0,-1,0.017988358414909422,1,0,3.045548461621366,1,1
2023-01-23,110.8505,117.72066,103.436554,108.8547,380712517.0,SDTTR,108.8547,110.8505,117.72066,103.436554,0,0.002722940776038074,,,,,,,,,,7.2872115846915335,2.608355684199933,4.6788559004916,,,900430940.0,-0.2796379026353478,0,-1,-0.18190027623979477,0,-1,0.2054298068893674,1,1,-0.24434406598888248,0,-1,-0.005661675609780703,0,0,2.6313792606107045,1,1
2023-01-24,100.83292,106.982956,97.9692,97.9692,220434971.0,SDTTR,97.9692,100.83292,106.982956,97.9692,0,-0.10000027559673574,,,,,,,,,,7.970843895339513,3.680853326427849,4.289990568911664,,,679995969.0,-0.26747079694434583,0,-1,-0.08295668434569237,0,-1,0.37254871939344203,1,1,-0.16390151190374114,0,-1,0.1280269717421394,1,1,2.6322885151659907,1,1
2023-01-25,101.850525,107.67254,94.07801,107.6725,198003264.0,SDTTR,107.6725,101.850525,107.67254,94.07801,0,0.09904439354409345,0.595620924718435,,,,,,,,,9.189669849319102,4.7826166310061,4.407053218313003,,,877999233.0,-0.34217743620701657,0,-1,-0.15827996935150568,0,-1,0.15645034711741612,1,1,-0.2776762868884812,0,-1,0.04014209756437337,1,1,1.9744558731338087,1,1
2023-01-26,116.925674,118.41023,109.44574,118.4102,175714343.0,SDTTR,118.4102,116.925674,118.41023,109.44574,0,0.0997255566648867,0.19960084289014057,,,,,,,,,10.896433547174112,6.0053800142397025,4.89105353293441,,,1053713576.0,-0.360648829239373,0,-1,-0.15806999734820149,0,-1,0.13976752002783543,1,1,-0.3344424720167688,0,-1,-0.03164169978599818,0,-1,1.9751980825976139,1,1
2023-01-30,127.95694,141.36328,117.2281,133.975,291356655.0,SDTTR,133.975,127.95694,141.36328,117.2281,0,0.13144813538022904,0.2341204007770883,,,,,,,,,13.351102158916092,7.474524443174981,5.876577715741111,,,1345070231.0,-0.37867661877215897,0,-1,-0.25000037320395596,0,-1,-0.10294159358089183,0,-1,-0.388235118492256,0,-1,-0.13971561858555692,0,-1,1.9844351558126516,1,1
2023-01-31,125.1011,131.5122,120.577484,120.5775,173267564.0,SDTTR,120.5775,125.1011,131.5122,120.577484,0,-0.09999999999999998,0.10769218049381424,,,,,,,,,14.053379821575291,8.790295518855043,5.263084302720248,,,1171802667.0,-0.22794136551180777,0,-1,-0.15441189276606337,0,-1,-0.002451535319607734,0,0,-0.3071899815471377,0,-1,0.002599987559868122,1,0,2.153721050776472,1,1
2023-02-02,99.57691,106.29337,97.72292,99.4961,184552107.0,SDTTR,99.4961,99.57691,106.29337,97.72292,0,-0.17483693060479777,0.015585510548213,,,,,,,,,12.761737764438465,9.584583967971728,3.1771537964667367,,,987250560.0,-0.050989938299089155,0,-1,0.12673260559961652,1,1,0.32970337530817795,1,1,-0.1336635305303423,0,-1,0.18324034811414713,1,1,2.585487270355321,1,1
2023-02-03,97.66676,103.83061,91.96003,99.4961,131639357.0,SDTTR,99.4961,97.66676,103.83061,91.96003,0,0.0,-0.07593768139497092,,,,,,,,,11.604334582756465,9.988534090928676,1.6158004918277893,47.44531713100177,,987250560.0,-0.0668317652651712,0,-1,0.15940624808409565,1,1,0.38118881041568464,1,1,-0.047029984089828614,0,-1,0.20311047367685786,1,1,2.6699337964000596,1,1
2023-02-07,82.962036,89.49725,80.631256,80.6313,66531698.0,SDTTR,80.6313,82.962036,89.49725,80.631256,0,-0.18960341159100713,-0.319051061479501,,,,,,,,,9.06040975855825,9.802909224454591,-0.7424994658963406,-18.313307938566282,,920718862.0,0.13988984426643247,1,1,0.7299931912297086,1,1,0.5662788520090833,1,1,0.2926072133278268,1,1,0.49440229786695733,1,1,3.4219093577804154,1,1
2023-02-15,84.73228,88.46289,76.00124,85.6553,371160313.0,SDTTR,85.6553,84.73228,88.46289,76.00124,0,0.062308309552245866,-0.36066206381787647,,,,,,,,,7.364828659729923,9.315293111509659,-1.9504644517797356,-21.09800099669212,,1291879175.0,0.00920083170568553,1,0,0.7009782231805854,1,1,0.3341007503330209,1,1,0.21334114759974,1,1,0.46329649186915467,1,1,3.2260187052056324,1,1
2023-02-16,81.03023,89.9898,77.13412,78.4148,301242105.0,SDTTR,78.4148,81.03023,89.9898,77.13412,0,-0.08453067119022406,-0.3496730318674711,,,,,,,,53.553162258520274,5.37486251495298,8.527206992198323,-3.152344477245343,-27.963790263534783,14.899802214285712,990637070.0,0.1356784688604702,1,1,0.6733665073430015,1,1,0.5138188199166482,1,1,0.4937180226181792,1,1,0.757243530558007,1,1,3.607408295372812,1,1
