date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2020-01-02,18.663956,18.830315,18.458666,18.671,63241627.0,ARCLK,18.671,0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.017063895881313185,1,0,-0.009474586256761786,0,0
2020-01-03,18.505562,18.883408,18.051617,18.7418,95944669.0,ARCLK,18.7418,0,0.0037919768625140904,,,,,,,,,0.005647863247865814,0.001129572649573163,0.004518290598292651,,,95944669.0,0.030221216745456525,1,1,-0.0028332390698866394,0,0
2020-01-06,18.889603,19.078083,18.600246,18.9188,92259522.0,ARCLK,18.9188,0,0.009444130232955095,,,,,,,,,0.024128122336669833,0.005729282586992498,0.018398839749677334,,,188204191.0,0.028062033532782138,1,1,0.0018711546186860328,1,0
2020-01-08,18.363098,18.582546,17.963129,18.4233,62112841.94,ARCLK,18.4233,0,-0.026190878914095994,,,,,,,,,-0.0011950720790707692,0.004344411653779845,-0.005539483732850614,,,126091349.06,0.03650268952902036,1,1,0.04130638919194718,1,1
2020-01-09,18.909956,19.11348,18.617943,19.0073,104430248.64,ARCLK,19.0073,0,0.03169898986609354,,,,,,,,,0.02556533197787303,0.008588595718598482,0.016976736259274545,,,230521597.7,0.010243432786350537,1,0,0.0009312211623953015,1,0
2020-01-10,19.190464,19.34355,18.883408,18.9896,99820100.0,ARCLK,18.9896,0,-0.0009312211623955235,0.017063895881313185,,,,,,,,0.04482815188598721,0.015836506952076227,0.028991644933910984,,,130701497.69999999,0.026093229978514598,1,1,-0.026093229978514598,0,-1
2020-01-13,19.357704,19.62671,19.148874,19.3082,114469548.0,ARCLK,19.3082,0,0.01677760458356148,0.030221216745456525,,,,,,,,0.08482462729107709,0.0296341310198764,0.05519049627120069,,,245171045.7,0.012828746335753705,1,0,-0.05133052278306627,0,-1
2020-01-14,19.37452,19.48513,19.148874,19.4497,69827442.0,ARCLK,19.4497,0,0.007328492557566291,0.028062033532782138,,,,,,,,0.1264819840638296,0.049003701628667046,0.07747828243516255,,,314998487.7,0.0072803179483489355,1,0,-0.07916317475333812,0,-1
2020-01-15,19.21524,19.46743,19.095781,19.0958,56533352.0,ARCLK,19.0958,0,-0.018195653403394352,0.03650268952902036,,,,,,,,0.129446785135773,0.06509231833008824,0.06435446680568477,,,258465135.7,0.027801925030634944,1,1,-0.03892478974434177,0,-1
2020-01-16,19.405489,19.64441,19.11348,19.202,100147617.0,ARCLK,19.202,0,0.0055614323568533575,0.010243432786350537,,,,,,,,0.1387662528116742,0.07982710522640545,0.05893914758526876,,,358612752.7,0.010134361004062065,1,0,-0.05345797312779932,0,-1
2020-01-17,19.440884,19.591314,19.18427,19.4851,83739897.0,ARCLK,19.4851,0,0.014743255910842468,0.026093229978514598,,,,,,,,0.16706992403567966,0.09727566898826029,0.06979425504741937,4.360237801938838,,442352649.7,-0.0036335456323035586,0,0,-0.08537805810593735,0,-1
2020-01-20,19.6214,19.821384,19.432035,19.5559,81628396.0,ARCLK,19.5559,0,0.0036335456323037807,0.012828746335753705,,,,,,,,0.19298909751276838,0.11641835469316192,0.07657074281960646,4.343766340479571,,523981045.7,-0.02081213342264998,0,-1,-0.09592501495712302,0,-1
2020-01-21,19.575388,19.750593,19.325851,19.5913,76106594.0,ARCLK,19.5913,0,0.0018101953886038302,0.0072803179483489355,,,,,,,,0.2139207679291495,0.13591883734035945,0.07800193058879004,3.5546652007526935,,600087639.7,-0.03613338573754665,0,-1,-0.11427010969154683,0,-1
