date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2020-01-02,1.637904,1.6665479,1.5971084,1.6492,87153485.0,DOHOL,1.6491635732327128,0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.015765219500363692,1,0,0.07367208343439247,1,1
2020-01-03,1.6040523,1.649188,1.5537086,1.5971,66237392.0,DOHOL,1.5970647239934304,0,-0.03159107446034448,,,,,,,,,-0.0041560335575496765,-0.0008312067115099353,-0.003324826846039741,,,-66237392.0,0.08152276000250458,1,1,0.09780226660822744,1,1
2020-01-06,1.5806165,1.5971084,1.5623887,1.5711,34613773.0,DOHOL,1.5710652982694122,0,-0.01627950660572297,,,,,,,,,-0.00943885126230315,-0.002552735621668578,-0.006886115640634571,,,-100851165.0,0.12150722423779525,1,1,0.13811978868308827,1,1
2020-01-07,1.6188083,1.649188,1.5710685,1.6231,162117278.0,DOHOL,1.6230641497174485,0,0.033097829546177904,,,,,,,,,-0.009322189220174915,-0.0039066263413698454,-0.005415562878805069,,,61266113.0,0.08021686895446978,1,1,0.09629720904442118,1,1
2020-01-08,1.6005803,1.6144682,1.5797487,1.5884,54343175.68,DOHOL,1.588364916155009,0,-0.021378842954839494,,,,,,,,,-0.011892581588500484,-0.005503817390795973,-0.006388764197704511,,,6922937.32,0.092923696801813,1,1,0.11476957945101973,1,1
2020-01-09,1.6578681,1.6839079,1.6144682,1.6752,104961981.58,DOHOL,1.6751629989567307,0,0.05464618484009054,0.015765219500363692,,,,,,,,-0.006846830182481556,-0.00577241994913309,-0.001074410233348466,,,111884918.9,0.015580229226361153,1,0,0.04148758357211069,1,1
2020-01-10,1.6986637,1.7359874,1.6665479,1.7273,87062197.0,DOHOL,1.7272618481960131,0,0.031100764087870214,0.08152276000250458,,,,,,,,0.0013404539659089831,-0.004349845166124675,0.0056902991320336585,,,198947115.9,-0.020089156487002824,0,-1,-0.015052393909569917,0,0
2020-01-13,1.7628951,1.788067,1.7359874,1.762,92959043.0,DOHOL,1.7619610817584523,0,0.020089156487002713,0.12150722423779525,,,,,,,,0.010507747027709513,-0.0013783267273578376,0.011886073755067351,,,291906158.9,-0.02956867196367763,0,-1,-0.03938706015891014,0,-1
2020-01-14,1.7542152,1.779387,1.7186277,1.7533,61493064.0,DOHOL,1.753261273920031,0,-0.004937570942111114,0.08021686895446978,,,,,,,,0.016876350971893217,0.0022726088124923735,0.014603742159400843,,,230413094.89999998,-0.009867107739690906,0,0,-0.034620430046198525,0,-1
2020-01-15,1.7411956,1.7620274,1.7273074,1.736,44074754.0,DOHOL,1.7359616560344344,0,-0.009867107739690906,0.092923696801813,,,,,,,,0.020293648350714566,0.005876816720136812,0.014416831630577755,,,186338340.89999998,-0.005011520737327135,0,0,-0.02499999999999991,0,-1
2020-01-16,1.7299113,1.7620274,1.6925877,1.7013,44263519.0,DOHOL,1.701262422471995,0,-0.019988479262672776,0.015580229226361153,,,,,,,,0.019971721416311983,0.008695797659371847,0.011275923756940136,3.159107446034426,,142074821.89999998,0.020396167636513196,1,1,-0.005113736554399506,0,0
2020-01-17,1.6977956,1.7186277,1.6839079,1.6926,26554017.0,DOHOL,1.6925626146335737,0,-0.005113736554399506,-0.020089156487002824,,,,,,,,0.01879789972941248,0.010716218073379974,0.008081681656032508,5.979588003255909,,115520804.89999998,0.06664303438496977,1,1,0.030781046910079102,1,1
2020-01-20,1.7090797,1.7186277,1.6925877,1.7099,28993572.0,DOHOL,1.7098622325191701,0,0.010220961833864894,-0.02956867196367763,,,,,,,,0.01904404428206674,0.012381783315117328,0.006662260966949413,8.834574501941317,,144514376.89999998,0.05076320252646349,1,1,0.015264050529270712,1,0
2020-01-21,1.7290434,1.7446673,1.6925877,1.736,60239187.0,DOHOL,1.7359616560344344,0,0.015264050529270712,-0.009867107739690906,,,,,,,59.61879432624113,0.021101871727306376,0.014125800997555138,0.006976070729751238,6.955825272626459,0.058899585714285725,204753563.89999998,0.030011520737327047,1,1,-0.010023041474654493,0,0
2020-01-22,1.7342516,1.7533472,1.7186277,1.7273,47640058.0,DOHOL,1.7272618481960131,0,-0.005011520737327135,-0.005011520737327135,,,,,,,58.49097629919549,0.02177965076165367,0.015656570950374846,0.006123079811278822,8.744648703097457,0.05641958571428572,157113505.89999998,0.015052393909569695,1,0,-0.025125919064435953,0,-1
