symbol,period,item_code,item_name_tr,item_name_en,value
ISGYO,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,62549227.0
ISGYO,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,7958896.0
ISGYO,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
ISGYO,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,16904277.0
ISGYO,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
ISGYO,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,857569.0
ISGYO,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ISGYO,2020/12,1AF,Stoklar,Inventories,31565817.0
ISGYO,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
ISGYO,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,5262667.0
ISGYO,2020/12,1AI,(Ara Toplam),(Subtotal),62549227.0
ISGYO,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
ISGYO,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,640480018.0
ISGYO,2020/12,1B,Ticari Alacaklar,Trade Receivables,1776354.0
ISGYO,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
ISGYO,2020/12,1BB,Diğer Alacaklar,Other Receivables,0.0
ISGYO,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ISGYO,2020/12,1BC,Finansal Yatırımlar,Financial Investments,31021292.0
ISGYO,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,576546.0
ISGYO,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
ISGYO,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,573303703.0
ISGYO,2020/12,1BFA,Stoklar,Stoklar,26922535.0
ISGYO,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,0.0
ISGYO,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,5569314.0
ISGYO,2020/12,1BGA,Şerefiye,Goodwill,0.0
ISGYO,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,126428.0
ISGYO,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0.0
ISGYO,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,1183846.0
ISGYO,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,703029245.0
ISGYO,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
ISGYO,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,129502442.0
ISGYO,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,118858648.0
ISGYO,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ISGYO,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,1081876.0
ISGYO,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,1530335.0
ISGYO,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,5114312.0
ISGYO,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
ISGYO,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
ISGYO,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,283480.0
ISGYO,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0.0
ISGYO,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,969721.0
ISGYO,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,1664070.0
ISGYO,2020/12,2AAGG,(Ara Toplam),(Subtotal),129502442.0
ISGYO,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
ISGYO,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,17745753.0
ISGYO,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,17428153.0
ISGYO,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ISGYO,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
ISGYO,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
ISGYO,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
ISGYO,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
ISGYO,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
ISGYO,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,0.0
ISGYO,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,317600.0
ISGYO,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
